Indicator ID,HMIS Category 1,HMIS Category 2,HMIS Category 3,HMIS Category 4,Indicator Title,Definition,Class,Datatype,Formula Type,Formula: Numerator,Formula: Denominator,Formula: Multiplier,Interpretation,Disaggregation,Recommendation,Primary Sources,Reporting Frequency,Applicable Reporting Units,Instruments,HSTP Indicator Map,WHO IMR Mappings,Logical Groupings,Notes
C1.4.2.3.3,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.3 Leprosy,Leprosy treatment completion rate,"Percentage of a cohort of leprosy cases registered in a specified period that successfully completed the treatment.",Indicator,Numeric,Indicator,The number of  leprosy cases registered for treatment  and completed treatment successfully during specified cohort period,The total number of leprosy cases registered during the same cohort period ,100,Treatment completion rate (both for PB and MB types of leprosy) measures the program’s capacity to retain patients through a complete course of chemotherapy with a favorable clinical result.,"Type: PB, MB",,Leprosy register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.4.1,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.4 TB/HIV,HIV screening for TB patients,The proportion of TB patients enrolled in DOTS who are tested for HIV,Indicator,Numeric,Indicator,The number of TB patients enrolled in DOTS who are tested for HIV in the quarter,The total number of TB patients enrolled in DOTS during the same period,100,"This indicator measures the HIV status among TB patients. TB is the leading cause of morbidity and mortality among people living with HIV. Ensuring that TB patients receive HIV testing and counseling services should be a high priority. Knowledge of HIV status enables HIV-positive TB patients to access the most appropriate HIV prevention, treatment, care and support services. Ideally, all TB patients with unknown HIV status should be offered an HIV test, and preferably within the context of the TB service provider, in which case the HIV test can be recorded in the patient record and the TB register. Patient confidentiality must be maintained. 
1.	Where HIV counseling and testing is carried out in a different part of the same facility or even at a distant site, the TB program needs to record when a TB patient is referred for an HIV test and receives the result. 
2.	TB patients should preferably be tested at the start of TB treatment so that they can benefit from appropriate care throughout TB treatment. 
3.	The numerator should include all TB patients who were previously known to be HIV-positive (documented evidence of enrolment in HIV care) or their negative HIV result from previous testing acceptable to the health care provider (such as performed in the past 3–6 months in a reliable laboratory).
This indicator measures the combined services’ ability to ensure that TB patients know their HIV status under program conditions.","Sex: male , female, 

HIV status: HIV positive, Negative , Unknown",,Unit TB Register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.4.2,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.4 TB/HIV,TB Screening for HIV positive Clients,Proportion of  clients enrolled in HIV care whose TB status was assessed and recorded during their last visit,Indicator,Numeric,Indicator,Number of clients enrolled in HIV care whose TB status was assessed and recorded in their last visit during the reporting period,Total number of adults and children enrolled in HIV care and seen for care in the reporting period.,100,"This indicator is intended to provide information on the proportion of HIV positive patients in HIV care and treatment who are screened for TB at last visit. This indicator measures the burden of known TB co-morbidity among people in HIV care. It may be used in drug supply planning for ART drug substitution in people treated for TB.

An increase in this indicator suggests that a higher proportion of HIV patients are being screened for TB and other increased efforts such as: developing a standard screening algorithm, training HIV staff, revising cards/registers, etc. A decrease in this indicator suggests that a lower proportion of PLWH are being screened for TB and change in policy or program. For example, a turnover in trained staff, decreased supervision visits, shortage of screening tools, etc.

Enrolled in care includes all those continuing in care and those newly enrolled during the reporting period.  The numerator is taken from the pre-ART and ART registers by counting the number of patients whose TB status was assessed during the reporting period. Any patients who started on ART during the reporting period should be counted in the ART register, not in the pre-ART register. 

For pre-ART patients, the denominator is those seen for care during the reporting period; For ART patients, the denominator is those current on ART during the reporting period. 

The denominator is taken from the pre-ART and ART registers by counting the number of patients with a visit during the reporting period. ","Sex: Male, Female",,"Pre-ART and ART register, PMTCT register",Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.4.3,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.4 TB/HIV,"Anti-Retroviral Therapy (ART) for HIV positive TB patients","Number of HIV-positive TB patients who are started on or continue previously initiated ART during their TB treatment, expressed as a proportion of all HIV-positive TB patients. ",Indicator,Numeric,Indicator,"All HIV-positive TB patients, registered over the reporting period, whoReceived ART (are started on or continue previously initiated ART).",Total number of HIV-positive TB patients registered during the reporting Period.,100,"This is an outcome indicator to measure commitment and capacity of TB services to ensure that HIV-positive TB patients are able to access ART, measure the degree to which health-care providers encourage ART as a part of routine care, and the success of TB and ART health services in referring, managing and tracking registered TB patients eligible for ART (i.e. the strength of the referral process). 

In settings where TB patients are referred to chronic HIV care unit or other care services to be assessed and started on ART, a system must be established to ensure that the TB Program is informed of the outcome of the referral, i.e. whether or not TB patients are started on ART or not. The information on outcome of the referral should be recorded in the TB register (TB/HIV columns). This is important not only for Program management but also for individual patient care. TB Program personnel need to be aware of a TB patient starting on ART so that they can manage drug reactions and interactions appropriately.

ART significantly improves the quality of life, reduces morbidity, and enhances the survival of people with advanced HIV infection or AIDS.  HIV-positive TB patients are one of the largest groups who are likely to benefit from ART, and efforts should be made to identify and treat those who are eligible. ","Sex: male , female

Age: 0-4, 5-14, 15+ 

Previously known HIV Positive; newly tested HIV-positive",,Unit TB Register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.4.4,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.4 TB/HIV,"INH Preventive therapy (IPT) for HIV positive clients",Proportion of the total number of newly enrolled HIV-positive people started  on IPT during the reporting period,Indicator,Numeric,Indicator,Total number of HIV positive individual newly enrolled in HIV care who started on (are given at least one dose of) IPT during reporting period,Total number of IPT eligible HIV positive clients newly enrolled in to HIV care during the reporting period.,100,"IPT is provided to ensure eligible HIV-positive individuals are given treatment for latent TB infection and thus to reduce the incidence of TB in people living with HIV.  

People living with HIV should have their TB status assessed at each scheduled visit. Those found not to have evidence of active TB will be offered TB preventive therapy according to nationally guidelines. All those accepting TB preventive therapy and receiving at least the first dose of treatment should be recorded. This information is recorded in a column in pre-ART and ART registers. The proportion of clients likely to start IPT depends on the health care providers’ capacity to rollout active TB using standard screening algorithm and the type of facility at which HIV diagnosis is made. 

N.B. Number of clients who will not meet the eligibility criteria for IPT should be excluded from denominator counting. For example, patients with active TB or on TB treatment at time of enrollment to HIV care should be excluded from the denominator. This indicator can be estimated and monitored at HC and Hospital level, woreda, zone, region and national level on a  quarterly basis. 

The program should aim to achieve more than 60% in starting isoniazid preventive therapy for the eligible group as this indicator does not  capture some group of patients may be started on  IPT  lately after reporting period ","Age : <1, 1-4, 5-9, 10-14, 15-19, 20-24, 25-49, 50+ 

Sex: Male, Female",,"Pre-ART register, ART register, PMTCT register",Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.4.5,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.4 TB/HIV,Co-trimoxazole preventive therapy during TB treatment for PLHIV,Number of HIV-positive TB patients who are started on or continue previously initiated CPT during reporting period expressed as a proportion of all HIV-positive TB patients registered over the same period.,Indicator,Numeric,Indicator,"Number of HIV-positive TB patients, registered over the reportingperiod, starting or continuing CPT treatment during reporting period",Total number of HIV-positive TB patients registered during the reporting period.,100,"This indicator measures the HIV status among TB patients. TB is the leading cause of morbidity and mortality among people living with HIV. Ensuring that TB patients receive HIV testing and counseling services should be a high priority. Knowledge of HIV status enables HIV-positive TB patients to access the most appropriate HIV prevention, treatment, care and support services. Ideally, all TB patients with unknown HIV status should be offered an HIV test, and preferably within the context of the TB service provider, in which case the HIV test can be recorded in the patient record and the TB register. Patient confidentiality must be maintained. 
1. Where HIV counseling and testing is carried out in a different part of the same facility or even at a distant site, the TB program needs to record when a TB patient is referred for an HIV test and receives the result. 
2. TB patients should preferably be tested at the start of TB treatment so that they can benefit from appropriate care throughout TB treatment. 
3. The numerator should include all TB patients who were previously known to be HIV-positive (documented evidence of enrolment in HIV care) or their negative HIV result from previous testing acceptable to the health care provider (such as performed in the past 3–6 months in a reliable laboratory).
This indicator measures the combined services’ ability to ensure that TB patients know their HIV status under program conditions.","Sex: Male, Female",,Unit TB Register,Quarterly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.5.1,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.5 Malaria,Morbidity attributed to malaria,"Malaria cases per 1,000 population ",Indicator,Numeric,Indicator,"Number of new malaria OPD + IPD cases (All malaria cases, of any species, should be included – whether clinical or laboratory diagnosis.)",Total population in the catchment area,1000,"Malaria case counts are quite sensitive and are specific indicators for probability of an epidemic. According to EPC guidelines, malaria cases should be plotted and reviewed weekly.  When the epidemic threshold is reached, the higher level should be notified and more frequent monitoring may be required. Followed over years, the trends in morbidity should show the effects of improved prevention and control efforts. Compared across geographic locations, malaria morbidity can help identify priority areas for intervention. Disaggregated by species, the morbidity patterns can suggest the emergence of increasing drug resistance.","Age:  0-4, 5-14 >=15; 

Sex: Male, Female; 

Diagnosis:  clinical, confirmed (P. falciparum /P. vivax/Mixed)",,"Family Folder, Outpatient/inpatient registers",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.5.2,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.5 Malaria,Facility-based malaria deaths,Percentage of all deaths due to malaria (according to confirmed malaria diagnosis) ,Indicator,Numeric,Indicator,The total number of all inpatient deaths with laboratory-confirmed (RDT/Microscopy) malaria,"Total number of deaths reported at health facilities during the reporting period",100,This indicator indicates the contribution of malaria to the total deaths in the facility. Further investigation should be done if the percentage of malaria deaths among the total deaths is increasing. ,"Age: 0-4, 5-14 >=15 

Sex: Male, Female",,Inpatient register,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.5.3,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.5 Malaria,Malaria positivity rate,Percentage of slides or rapid diagnostic tests (RDT) found positive among all slides and rapid diagnostic tests performed.,Indicator,Numeric,Indicator,Number of slides or RDT positive for malaria,Total number of slides or RDT performed for malaria diagnosis,100,"The slides or RDT positivity rate assesses the proportion of slides/RDT positive for malaria among slides or RDT from patients with fever. The slide or RDT positivity rate is usually computed for a specified period of case detection activities. In areas with unstable malaria, an increasing slide or RDT positivity rate by 50% is one of the warning signs of a possible epidemic.","Age: 0-4, 5-14, 15+
Sex: Male, Female",,"Laboratory register, service delivery tally at HP ",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.5.4,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.5 Malaria,Proportion of targeted HH covered with LLIN in the last 12 months,Proportion of targeted HHs covered with LLINs in the last 12 months,Indicator,Numeric,Indicator,Number of targeted HHs that received at least one ITN in the last 12 months in targeted districts  ,Total  number of HHs that need  ITN in the last 12 months in targeted districts,100,"Insecticide-treated nets are one of the principal strategies for preventing malaria. Insecticide-treated nets have been shown to reduce malaria-related morbidity and mortality in areas with high and moderate endemicity. Although this indicator is meant to be the one, among the service delivery indicators, closest to predicting bed net ownership and usage within households, it should not be equated with indicators which are to be measured through household surveys. ",None,,Service delivery tally,Annually,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,At the reporting level HC/Clinic states: *N.B. HC aggregates reports received from HPs & sends to WorHO. 
C1.4.2.5.5,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.5 Malaria,Proportion of unit structures covered by indoor residual spraying (IRS),Proportion of unit structures in IRS targeted areas that were sprayed in the last 12 months.,Indicator,Numeric,Indicator,Number of unit structures sprayed  ,Total number of unit structures in the target area for IRS,100,"This indicator is directly related to operations: It indicates the proportion of  houses sprayed with insecticide among targeted houses and is useful to measure the increase in the level of prevention of malaria in the entire population. This indicator requires program-level data to be collected about each house sprayed during each spraying event in the target area. Careful attention should be given to identify houses not considered as part of the target area so that they can be excluded from the calculation. Ideally, (1) all dwellings and relevant structures in the target areas should be sprayed; (2) all sprayable surfaces in the dwelling or structure should be covered; (3) insecticide application should be uniform across surfaces; and (4) spraying should be done at intervals consistent with the manufacturer’s guidelines for specific insecticides. 

N.B on average one HH is equivalent to 1.5 unit structures",None,,Administrative report,Annually,"HP, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.2.6.1,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.6 Neglected tropical diseases,Therapeutic Coverage for preventive chemotherapy diseases (PCT),"Proportion of individuals, expressed as a percentage, in a targeted population who swallowed a drug or a combination of drugs.",Indicator,Numeric,Indicator,Number of individuals who swallowed MDA drug for each disease type,Total eligible population of the catchment area,,"This indicator counts the number of persons who swallowed MDA drugs at the  community level.  The indicator is used to evaluate the number of persons who  ingested MDA drugs among the total population who are eligible to take the drugs. The indicator can be used at all levels to  report therapeutic coverage quarterly and annually. It evaluates MDA drug coverage of five diseases which can be prevented by chemotherapy (Trachoma/with either azithromycin or tetracycline eye ointment/, onchocerciasis, lymphatic filariasis, schistosomiasis and STH with …?), which can lead to the elimination these targeted diseases.","Disease type: trachoma, onchocerciasis, lymphatic filariasis, schistosomiasis and  Soil transmitting helminthes (STH)","Disaggregation for C1.4.2.6.1 is per disease type, in the numerator of the formula. The Indicator Definitions document disaggregates within the formula in addition to the disaggregation field.

The recommendation is to retain the indicator as a single item in the data dictionary, rather than including a separate indicator with unique formula per disaggregation. The indicator should define the expected disaggregation in the Disaggregation column, rather than the Formula definition.",Administrative report,Quarterly,"HP, HC/Clinic, WorHO, ZHD/ScHO, RHB, FMOH",,,,,"At the reporting level HC/Clinic states: *N.B. HC aggregates reports received from HPs & sends to WorHO. 

NOTE CHANGE: five indicators (A-E) for a single HMIS indicator C1.4.2.6.1"
C1.4.2.6.2,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.6 Neglected tropical diseases,Number of lymph edema cases treated,Number of lymph edema cases treated,Indicator,Numeric,Count,Number of lymph edema cases treated,,,This includes Lymph edema cases that are treated at all categories of health facilities as it can be screened and simply managed even by health extension workers. It includes lymph edema cases coming from both lymphatic filariasis and podoconiosis.,"Type: Lymphatic Filariasis , podoconiosis",,"Family health card, OPD register",Quarterly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.3.1,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.3 Non Communicable diseases,,Morbidity attributed to hypertension,Proportion of adults 15+ years newly diagnosed with hypertension,Indicator,Numeric,Indicator,Number of adults 15 years and above newly diagnosed with hypertension (OPD+IPD),Estimated number of adults  in the catchment area,100,"Hypertension is defined in a clinical setting when the mean blood pressure is equal to or above 140/90 on two or more measurements on each of two or more visits in separate days. Raised blood pressure is a major risk factor for coronary heart disease and ischemic as well as hemorrhagic stroke. It also results in heart failure, peripheral vascular disease, renal impairment, retinal hemorrhage, and visual impairment. The global strategy on the prevention and control of NCDs suggests a 25% reduction in the prevalence of hypertension. However, in many countries like ours significant proportions of individuals are unaware of their blood pressure. This indicator permits monitoring trends in the number and proportion of patients with hypertension. Following morbidity due to hypertension at health facilities will show health seeking behavior of the community. Further, it indicates prevention, counseling and treatment services at health facilities which further contribute to avoiding cardiovascular complications. Treating systolic blood pressure and diastolic blood pressure to targets that are greater than 140/90 is associated with a decrease in cardiovascular complications. The prevalence of hypertension in Ethiopia is estimated to be between 8-31%. Cardiovascular diseases are among the top 10 causes of mortality based on Health and Health Related Indicators 2004. WHO recommends drug therapy for prevention and control of heart attacks and strokes because it is feasible, high impact and affordable, even in low- and middle-income countries.",Sex: Male Female ,,"OPD register, IPD register",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.3.2,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.3 Non Communicable diseases,,Morbidity attributed to diabetes mellitus ,"Newly diagnosed Diabetes mellitus cases per 1,000 population ",Indicator,Numeric,Indicator,Number of newly diagnosed diabetes mellitus cases(OPD+IPD),Total population in the catchment area,1000,"Diabetes is defined as fasting plasma glucose ≥7.0 mmol/L (126, mg/dl). The chronic hyperglycemia of diabetes mellitus is associated with significant long term sequelae, particularly damage, dysfunction and failure of various organs – the kidneys, eyes, nerves, heart and blood vessels. Lowering of plasma glucose towards normal values relieves symptoms of hyperglycemia and has a beneficial effect on macro vascular and micro vascular complications. Diabetes, impaired glucose tolerance and impaired fasting glycaemia are risk categories for future development of diabetes and cardiovascular disease. WHO recommends drug therapy for prevention and control of heart attacks and strokes because it is feasible, high impact and affordable, even in low- and middle-income countries. IDF estimates that the prevalence of diabetes in Ethiopia is 1.9%. One of the targets of HSDP IV is to halt the incremental change in prevalence of type 2 diabetes mellitus. More than 50% of patients with type2 diabetes are unaware of their blood glucose level. This indicator permits monitoring trends in the number and proportion of patients with diabetes. Following morbidity due to diabetes at health facilities will show health seeking behavior of the community. Further it indicates prevention, counseling and treatment efforts which further contribute to avoid macro vascular and micro vascular complications. ","Age 0-4 years, 5-14 yrs, 15 +

Sex: Male, Female ",,"OPD register, IPD register",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.3.3,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.3 Non Communicable diseases,,Morbidity attributed to asthma ,"Newly Asthma cases per 1,000 population ",Indicator,Numeric,Indicator,Number of patients newly diagnosed with asthma,Total population in the catchment area,1000,"Asthma comprised one of the major chronic respiratory diseases. Its effects include reduced quality of life, lost productivity, missed school days, increased health care costs, and increased risk of hospitalization and even death. Data show that there is progressive increase in incidence and prevalence of asthma. This indicator permits monitoring trends in the number and proportion of patients with asthma. Following morbidity due to asthma at health facilities will show health seeking behavior of the community. Further it indicates health promotion, prevention, care and treatment efforts in the country. ","Age 0-4 years, 5-14 yrs, 15 +
Sex: Male, Female ",,"OPD register, IPD register",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.3.4,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.3 Non Communicable diseases,,Cervical cancer screening in women age 30 – 49 using VIA/PAP smear,Proportion of women between ages 30 – 49 screened with VIA for cervical cancer,Indicator,Numeric,Indicator,Number of women age 30 – 49 screened with VIA for cervical cancer,Total number of women age 30 – 49 within the catchment area,100,"Cervical cancer screening aims to detect precancerous changes, which, if not treated, may lead to cancer. In resource limited settings, 30 to 49 year old women comprise the target groups because cervical cancer is rare in women under 30. Screening younger women will detect many lesions that are not likely to develop into cancer, which will lead to considerable overtreatment, which is not cost-effective. New Programs should start by screening women aged 30 years or more. Thus, this indicator is intended to monitor trends in provision of counseling and screening services for cervical cancer. Data should be generated by counting the total number of individuals who received screening service at service delivery points (family planning clinics) from health facilities providing the service.  There is sufficient evidence that cervical cancer screening can reduce cervical cancer mortality by 80%or more among screened women. Recent developments in technologies adapted to low-resource settings make screening and treatment of cervical pre-cancer lesions feasible and highly cost-effective for all countries. Early detection and treatment of precancerous lesions can result in massive improvements of survival, and are especially important in developing countries where access to expensive cancer treatment is limited. ","By outcome: 
Normal cervix
Precancerous lesion
Cancerous lesion ",,FP Register,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C1.4.3.5,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.3 Non Communicable diseases,,Cataract surgical rate,Annual number of cataract operations performed per million population,Indicator,Numeric,Indicator,Number of cataract surgeries performed,Total population in the catchment area,1000000,"The CSR is a performance indicator: it indicates the extent of the effort to control cataract blindness and allows easy comparison between countries and regions. It is also an indicator for the availability, accessibility and affordability of cataract services. The CSR does not address the quality of surgery nor the proportion of the cataract problem covered. This indicator should help improve training and influence policy.",None,,OR register,Annually,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
C2.1,C2: Community Ownership,,,,Proportion of Model households graduated/Households Currently Model,Proportion of current model households graduated by health extension program.,Indicator,Numeric,Indicator,Number of current model households in the catchment ,Total number of households in the catchment area ,100,Measures the extent of the households improving their health by implementing the health extension program components. Households graduate after completion of HEP training and implementing all the HEP components in a given catchments area. Current Model House Holds = (Previously graduated + Newly graduated) - Drop out ,"Previously graduated
Newly graduated
Urban and rural",,Administration report,Quarterly,"HP, HC/Clinic, WorHO, ZHD/ScHO, RHB, FMOH",,,,,At the reporting level HC/Clinic states: *N.B. HC aggregates reports received from HPs & sends to WorHO. 
C2.2,C2: Community Ownership,,,,Proportion of functional 1 to 5 networks,Proportion of functional  1 to 5 networks in the kebele ,Indicator,Numeric,Indicator,functional 1 to 5 networks,total expected number of 1 to 5 networks,100,"This indicator measures the number of functional 1 to 5 networks out of expected number of 1 to 5 networks in the catchment area.  A 1 to 5 network is said to be functional if the following minimum criteria are fulfilled: Received training from HEWs based on the family health guide, has individual and team plan, meets regularly as per the guideline (at least once a week), reports regularly to development team, and actively discuss the health issues.",None,,Administration report,Monthly,"HP, HC/Clinic, WorHO, ZHD/ScHO, RHB, FMOH",,,,,At the reporting level HC/Clinic states: *N.B. HC aggregates reports received from HPs & sends to WorHO. 
F1.1,F1: Resource Mobilization and Utilization,,,,General Government expenditure on health ,General government expenditure on health as a percentage of total expenditure on health ,Indicator,Numeric,Indicator,Total budget allocated to health,Total government budget ,100,This indicates the share of the health budget as a proportion of total budget as it is indicated in the government’s budget proclamations (note that in the calculation it is important to take the adjusted budget figure as that is the final figure known by finance offices at all levels of administration).This indicator shows the relative share of health sector budget to the total budget.  It illustrates the commitment of the government to the health sector. ,None,,The financial data from MOFED/BOFED/WoFED,Annually,"WorHO, ZHD/ScHO, RHB, FMOH",,,,,
F1.2 ,F1: Resource Mobilization and Utilization,,,,Health budget utilization,Proportion of health budget utilization to allocation.,Indicator,Numeric,Indicator,Health budget utilized,Health budget allocated ,100,It indicates the capacity to utilize the budget allocated (including internal revenue) in a fiscal year.,None,,Health institution financial data and Administrative reports ,Annually,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
F1.3,F1: Resource Mobilization and Utilization,,,,Share of internal revenue generated,Proportion of the total revenue generated by health facility to the total allocated health budget,Indicator,Numeric,Indicator,Amount of locally generated revenue,"Total health budget allocated for the respective health facility",100,"This indicator suggests the availability of locally generated revenue that can be used to supplement government resources for quality improvement.  Locally generated revenue is not intended to replace government funds, but to supplement them.  (Note that in the interpretation of the ratio one should look into the trend of government budget allocation by way of block grants.) ",None,,The revenue generated in the respective health facilities are collected monthly from financial records at health centers and hospitals.  Information on health budget can also be found at each level.  Administrative reports.,Annually,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
F1.4,F1: Resource Mobilization and Utilization,,,,Proportion of reimbursed amount out of total patient fees waived ,Proportion of patient fees waived that were reimbursed,Indicator,Numeric,Indicator,Amount of waived fee reimbursed 	,Amount of fees waived ,100,"This indicator suggests whether local authorities reimburse health facilities for services provided to poor and vulnerable people. The total fees waived and reimbursed are collected quarterly from financial records at health centers and hospitals.  It is reviewed quarterly at the facility, woreda, region, and federal levels.  (Note that in the reporting of this indicator there will be a time lag of a quarter, i.e. results reported in quarter 2 will reflect quarter 1). ",None,,Financial records at health centers and hospitals and Administrative reports ,Annually,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
P1.1 ,P1: Quality of health services,,,,Outpatient attendance per capita,"Total number of new and repeat outpatient attendances at all types of health facilities (including clinics, specialized clinics, etc). Patients who attend the following services should be INCLUDED in the outpatient count:
• General outpatient clinics
• Specialty outpatient clinics (including Dental, Ophthalmic and Psychiatry)
• TB clinics
• ART clinics
• VCT clinics
• MCH clinics (EPI, IMCI, well baby clinics, ANC, PNC, family planning etc)
• Private wing clinics
• Patients attending the emergency department
• Patients who attended services at dressing and injection room",Indicator,Numeric,Indicator,Number of outpatient visits,Total population in the catchment area,,"Health service utilization reflects the interaction between demand and supply of outpatient care. The use of outpatient services is inversely related to certain barriers that may be physical (distance), economic (cost to patient), cultural (low awareness and health care seeking behavior) or technical (poor quality of health care).",None,,"Service delivery tally (for HP)/OPD register from all general outpatient clinics including Dental, Ophthalmic and Psychiatry, TB clinics, ART clinics, VCT clinics, MNCH clinics [EPI, IMCI, well baby clinics, ANC, PNC, family planning etc], the emergency department, Private wing clinics, injection and dressing tally sheets
",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
P1.2,P1: Quality of health services,,,,Admission rate,"The number of patients admitted (including those transferred from another health facility) during the reporting period per 1,000 population.

INCLUDE all patients admitted to:
• Wards (all patients under the care of the inpatient case team should be included, even if they are admitted to a trolley or stretcher, i.e. do not have a bed)
• Clinical facilities (e.g. intensive care units, ophthalmic units)
• Neonatal units
• Private wing beds

The following should be EXCLUDED:
• Patients in day units/day surgery
• Labouring and delivering mothers who are discharged directly from the delivery room (i.e. who are NOT admitted to an inpatient bed)
• Healthy babies who are born in the hospital or who accompany their mother",Indicator,Numeric,Indicator,Number of inpatient admissions,Total population in the catchment area,1000,"Admission rate reflects the interaction between demand and supply of inpatient care. Like outpatient service utilization, admission rate is inversely related to certain barriers that may be physical (distance), economic (cost to patient), cultural (low awareness and health care seeking behavior) or technical (poor quality of health care).",None,,"Inpatient register 

Private wing registration/admission and discharge book",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
P1.3,P1: Quality of health services,,,,Bed occupancy rate,Percentage of occupied beds during the period under review,Indicator,Numeric,Indicator,Total length of stay (in days),(Number of beds available) x (Number of days in period),100,BOR reflects the level of utilization of inpatient services.  Inpatient services incur a high overhead.  In Ethiopia hospitals consume more than 40% of public sector health funds.  Inpatient capacity that is greater than demand wastes resources.  A low BOR requires investigation. A low BOR may also reflect low quality of service.,Facility type: hospital and health center,,Inpatient admission / discharge register,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
P1.4,P1: Quality of health services,,,,Average length of stay,The average length of stay (in days) of patients in an inpatient facility during a given period of time,Indicator,Numeric,Indicator,Total length of stay (in days),Number of inpatient discharges,,"ALOS reflects the appropriate utilization of inpatient services. By monitoring length of stay, hospitals can assess if patients remain in hospital for longer than is necessary, perhaps due to non-clinical reasons, and investigate further if required.",By Facility type (Hospital and health center),,Inpatient admission / discharge register,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,,,,
P1.5,P1: Quality of health services,,,,Proportion of blood units utilized from blood bank service ,Proportion of blood units utilized by transfusing hospital received from blood bank service,Indicator,Numeric,Indicator,Total number of units of blood transfused ,Total units of blood received from NBTS & regional blood banks,100,This indicator is a measure of the quality of health care service delivery and also a measure of the capacity of blood banks to supply safe and adequate blood and its products for transfusing facilities in their catchment area.  ,"By source of blood : Direct family replacement, and blood bank   ",,"Registration books, Hospital transfusion feedback formats  ",Monthly,"Hospital, RHB, FMOH",,,,,
